school,district,street,city,state,zip
Walter Reed Middle(LAUSD),Los Angeles Unified,4525 Irvine Ave.,North Hollywood,CA,91602-1915
Carthay Elementary Of Environmental Studies Magnet(LAUSD),Los Angeles Unified,6351 West Olympic Blvd.,Los Angeles,CA,90048-5411
Casa Montessori(LAUSD),Los Angeles Unified,17633 Lassen St.,Northridge,CA,91325-1408
Castelar Street Elementary(LAUSD),Los Angeles Unified,840 Yale St.,Los Angeles,CA,90012-2328
Castle Heights Elementary(LAUSD),Los Angeles Unified,9755 Cattaraugus Ave.,Los Angeles,CA,90034-2352
Castlebay Lane Charter(LAUSD),Los Angeles Unified,19010 Castlebay Ln.,Porter Ranch,CA,91326-1005
Cathedral Chapel Elementary(LAUSD),Los Angeles Unified,755 South Cochran Ave.,Los Angeles,CA,90036-3812
Divine Saviour(LAUSD),Los Angeles Unified,624 Cypress Ave.,Los Angeles,CA,90065-1504
Dixie Canyon Community Charter(LAUSD),Los Angeles Unified,4220 Dixie Canyon Ave.,Sherman Oaks,CA,91423-3904
Dolores Huerta Elementary(LAUSD),Los Angeles Unified,260 East 31st St.,Los Angeles,CA,90011-1910
Dolores Mission School(LAUSD),Los Angeles Unified,170 South Gless St.,Los Angeles,CA,90033-3308
Dolores Street Elementary(LAUSD),Los Angeles Unified,22526 Dolores St.,Carson,CA,90745-3810
Strathern Street Elementary(LAUSD),Los Angeles Unified,7939 St. Clair Ave.,North Hollywood,CA,91605-2316
Sts. Peter and Paul School(LAUSD),Los Angeles Unified,706 Bay View Ave.,Wilmington,CA,90744-5308
Success Academy k-12(LAUSD),Los Angeles Unified,1090 Adobe Canyon Rd,Kenwood,CA,95452-9053
Summit View(LAUSD),Los Angeles Unified,6455 Coldwater Canyon,North Hollywood,CA,91606-1112
Sun Valley Magnet(LAUSD),Los Angeles Unified,7330 Bakman Ave.,Sun Valley,CA,91352-4914
Sunland Christian School(LAUSD),Los Angeles Unified,13216 Leach St.,Sylmar,CA,91342-4420
Sunland Elementary(LAUSD),Los Angeles Unified,8350 Hillrose St.,Sunland,CA,91040-2406
Sunny Brae Avenue Elementary(LAUSD),Los Angeles Unified,20620 Arminta St.,Winnetka,CA,91306-2109
Sunrise(LAUSD),Los Angeles Unified,13130 Burbank Blvd.,Sherman Oaks,CA,91401-6037
Sunrise Elementary(LAUSD),Los Angeles Unified,2821 East Seventh St.,Los Angeles,CA,90023-1501
Sunrise West School(LAUSD),Los Angeles Unified,4160 Grand View Blvd.,Los Angeles,CA,90066-5214
Superior Street Elementary(LAUSD),Los Angeles Unified,9756 Oso Ave.,Chatsworth,CA,91311-5359
Susan Miller Dorsey Senior High(LAUSD),Los Angeles Unified,3537 Farmdale Ave.,Los Angeles,CA,90016-4707
Sven Lokrantz Special Education Center(LAUSD),Los Angeles Unified,19451 Wyandotte St.,Reseda,CA,91335-3518
Sylmar Biotech Health and Engineering Magnet(LAUSD),Los Angeles Unified,13050 Borden Ave.,Sylmar,CA,91342-4251
Vanalden Avenue Elementary(LAUSD),Los Angeles Unified,19019 Delano St.,Reseda,CA,91335-6727
Vena Avenue Elementary(LAUSD),Los Angeles Unified,9377 Vena Ave.,Arleta,CA,91331-4733
Venice Senior High(LAUSD),Los Angeles Unified,13000 Venice Blvd.,Los Angeles,CA,90066-3512
Venice Skills Center(LAUSD),Los Angeles Unified,611 Fifth Ave.,Venice,CA,90291-2674
Dominguez Elementary(LAUSD),Los Angeles Unified,21250 Santa Fe Ave.,Carson,CA,90810-1446
Dorothy V. Johnson Community Day(LAUSD),Los Angeles Unified,10601 South Grandee Ave.,Los Angeles,CA,90002-3676
Dorris Place Elementary(LAUSD),Los Angeles Unified,2225 Dorris Pl.,Los Angeles,CA,90031-1161
Downtown Business Magnet(LAUSD),Los Angeles Unified,1081 West Temple St.,Los Angeles,CA,90012-1573
Dr. James Edward Jones Primary Center(LAUSD),Los Angeles Unified,1017 West 47th St.,Los Angeles,CA,90037-2913
Dr. Julian Nava Learning Academy(LAUSD),Los Angeles Unified,1420 East Adams Blvd.,Los Angeles,CA,90011-1820
"Dr. Lawrence H. Moore Math, Science, Technology Academy(LAUSD)",Los Angeles Unified,1321 East 61st St.,Los Angeles,CA,90001-1218
Dr. Maya Angelou Community High(LAUSD),Los Angeles Unified,300 East 53rd St.,Los Angeles,CA,90011-4522
Dr. Owen Lloyd Knox Elementary(LAUSD),Los Angeles Unified,8919 South Main St.,Los Angeles,CA,90003-3718
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy(LAUSD),Los Angeles Unified,1111 Figueroa Pl.,Wilmington,CA,90744-2311
Dr. Sammy Lee Medical and Health Science Magnet Elementary(LAUSD),Los Angeles Unified,3600 Council St.,Los Angeles,CA,90004-4840
Gan Israel Hebrew(LAUSD),Los Angeles Unified,18181 Burbank Blvd.,Tarzana,CA,91356-2501
Garden Grove Elementary(LAUSD),Los Angeles Unified,18141 Valerio St.,Reseda,CA,91335-3144
Verdugo Hills Senior High(LAUSD),Los Angeles Unified,10625 Plainview Ave.,Tujunga,CA,91042-1723
Vermont Avenue Elementary(LAUSD),Los Angeles Unified,1435 West 27th St.,Los Angeles,CA,90007-2137
Vermont Christian School(LAUSD),Los Angeles Unified,25500 Vermont Ave.,Harbor City,CA,90710-3125
Vernon City Elementary(LAUSD),Los Angeles Unified,2360 East Vernon Ave.,Los Angeles,CA,90058-1609
Victoria Avenue Elementary(LAUSD),Los Angeles Unified,3320 Missouri Ave.,South Gate,CA,90280-4308
Victory Boulevard Elementary(LAUSD),Los Angeles Unified,6315 Radford Ave.,North Hollywood,CA,91606-3316
View Park Continuation(LAUSD),Los Angeles Unified,4701 Rodeo Rd.,Los Angeles,CA,90016-4713
Village Christian Schools(LAUSD),Los Angeles Unified,8930 Village Ave.,Sun Valley,CA,91352-2129
Village Glen School(LAUSD),Los Angeles Unified,13130 Burbank Blvd.,Sherman Oaks,CA,91401-1401
Village Glen West(LAUSD),Los Angeles Unified,12095 W. Washington Blvd,Los Angeles,CA,90066
"Village School, Inc.(LAUSD)",Los Angeles Unified,780 Swarthmore Ave.,Pacific Palisades,CA,90272-4355
Vine Street Elementary(LAUSD),Los Angeles Unified,955 North Vine St.,Los Angeles,CA,90038-2701
Gardena Elementary(LAUSD),Los Angeles Unified,647 West Gardena Blvd.,Gardena,CA,90247-5021
Gardena Senior High(LAUSD),Los Angeles Unified,1301 West 182nd St.,Gardena,CA,90248-3322
Gardner Street Elementary(LAUSD),Los Angeles Unified,7450 Hawthorn Ave.,Los Angeles,CA,90046-2802
Garvanza Elementary(LAUSD),Los Angeles Unified,317 North Avenue 62,Los Angeles,CA,90042-2808
Garza (Carmen Lomas) Primary Center(LAUSD),Los Angeles Unified,2750 East Hostetter St.,Los Angeles,CA,90023-4332
Gaspar De Portola Charter Middle(LAUSD),Los Angeles Unified,18720 Linnet St.,Tarzana,CA,91356-3313
Gates Street Elementary(LAUSD),Los Angeles Unified,3333 Manitou Ave.,Los Angeles,CA,90031-2813
Gault Street Elementary(LAUSD),Los Angeles Unified,17000 Gault St.,Lake Balboa,CA,91406-3607
George De La Torre Jr. Elementary(LAUSD),Los Angeles Unified,500 North Island Ave.,Wilmington,CA,90744-5524
George Ellery Hale Charter Academy(LAUSD),Los Angeles Unified,23830 Califa St.,Woodland Hills,CA,91367-2922
George K. Porter Middle(LAUSD),Los Angeles Unified,15960 Kingsbury St.,Granada Hills,CA,91344-7144
George S. Patton Continuation(LAUSD),Los Angeles Unified,24514 South Western Ave.,Harbor City,CA,90710-1759
Hancock Park Elementary(LAUSD),Los Angeles Unified,408 South Fairfax Ave.,Los Angeles,CA,90036-3135
Harbor City Elementary(LAUSD),Los Angeles Unified,1508 West 254th St.,Harbor City,CA,90710-2717
Harbor Occupational Center(LAUSD),Los Angeles Unified,740 North Pacific Ave.,San Pedro,CA,90731-1696
Harding Street Elementary(LAUSD),Los Angeles Unified,13060 Harding St.,Sylmar,CA,91342-4814
Harkham-GAON Academy(LAUSD),Los Angeles Unified,5870 West Olympic Blvd.,Los Angeles,CA,90036-4657
Harmony Elementary(LAUSD),Los Angeles Unified,899 East 42nd St.,Los Angeles,CA,90011
Harold McAlister High (Opportunity)(LAUSD),Los Angeles Unified,611 South Carondelet St.,Los Angeles,CA,90057-3301
Harris Newmark Continuation(LAUSD),Los Angeles Unified,1575 West Second St.,Los Angeles,CA,90026-5701
Harrison Street Elementary(LAUSD),Los Angeles Unified,3529 City Terrace Dr.,Los Angeles,CA,90063-3741
Harry Bridges Span(LAUSD),Los Angeles Unified,1235 Broad Ave.,Wilmington,CA,90744-2619
Hart Street Elementary(LAUSD),Los Angeles Unified,21040 Hart St.,Canoga Park,CA,91303-2222
Harvard Elementary(LAUSD),Los Angeles Unified,330 North Harvard Blvd.,Los Angeles,CA,90004-4412
Harvard-Westlake(LAUSD),Los Angeles Unified,700 North Faring Rd.,Los Angeles,CA,90077-3525
Harvard-Westlake(LAUSD),Los Angeles Unified,3700 Coldwater Canyon Ave.,Studio City,CA,91604-2301
Haskell Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet(LAUSD),Los Angeles Unified,15850 Tulsa St.,Granada Hills,CA,91344-5525
Hawaiian Avenue Elementary(LAUSD),Los Angeles Unified,540 Hawaiian Ave.,Wilmington,CA,90744-4922
Hawthorne Academy(LAUSD),Los Angeles Unified,2506 West Imperial Hwy.,Hawthorne,CA,90250-1953
Haykazunyadz Child Care Center Inc.(LAUSD),Los Angeles Unified,7745 W. Apperson St.,Tujunga,CA,91042-2110
Haynes Charter For Enriched Studies(LAUSD),Los Angeles Unified,6624 Lockhurst Dr.,West Hills,CA,91307-3135
Hollywood Senior High(LAUSD),Los Angeles Unified,1521 North Highland Ave.,Los Angeles,CA,90028-7001
Holmes Avenue Elementary(LAUSD),Los Angeles Unified,5108 Holmes Ave.,Los Angeles,CA,90058-1911
Holy Martyrs Armenian High School?Ferrahian(LAUSD),Los Angeles Unified,5300 White Oak Ave.,Encino,CA,91316-2459
Holy Martyrs Cabayan Armenian Elementary School(LAUSD),Los Angeles Unified,16617 Parthenia St,North Hills,CA,91343-4606
Holy Name of Jesus Catholic Elementary(LAUSD),Los Angeles Unified,1955 West Jefferson Blvd.,Los Angeles,CA,90018-3413
Holy Spirit School(LAUSD),Los Angeles Unified,1418 South Burnside Ave.,Los Angeles,CA,90019-4014
Holy Trinity School(LAUSD),Los Angeles Unified,1226 W. Santa Cruz St.,San Pedro,CA,90732-2916
Honest Learning Academy(LAUSD),Los Angeles Unified,1312 talmadge,los angeles,CA,90027-1531
Hooper Avenue Elementary(LAUSD),Los Angeles Unified,1225 East 52nd St.,Los Angeles,CA,90011-4703
Hooper Avenue Primary Center(LAUSD),Los Angeles Unified,1280 East 52nd St.,Los Angeles,CA,90011-4704
Hoover Street Elementary(LAUSD),Los Angeles Unified,2726 Francis Ave.,Los Angeles,CA,90005-1252
Hope Street Elementary(LAUSD),Los Angeles Unified,7560 State St.,Huntington Park,CA,90255-6133
Horace Mann UCLA Community(LAUSD),Los Angeles Unified,7001 South Saint Andrews Pl.,Los Angeles,CA,90047-1833
Hubbard Street Elementary(LAUSD),Los Angeles Unified,13325 Hubbard St.,Sylmar,CA,91342-3224
Hubert Howe Bancroft Middle(LAUSD),Los Angeles Unified,929 North Las Palmas Ave.,Los Angeles,CA,90038-2421
Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4(LAUSD),Los Angeles Unified,4211 Dozier St.,Los Angeles,CA,90063-3422
Humanities and Arts (HARTS) Academy of Los Angeles(LAUSD),Los Angeles Unified,24300 South Western Ave.,Harbor City,CA,90710-1742
Humphreys Avenue Elementary(LAUSD),Los Angeles Unified,500 South Humphreys Ave.,Los Angeles,CA,90022-2416
King/Drew Medical Magnet High(LAUSD),Los Angeles Unified,1601 East 120th St.,Los Angeles,CA,90059-3025
Kingsley Elementary(LAUSD),Los Angeles Unified,5200 West Virginia Ave.,Los Angeles,CA,90029-1212
Virtual Academy Arts and Entertainment (LAUSD),Los Angeles Unified,,,,
Lucille Roybal-Allard Elementary(LAUSD),Los Angeles Unified,3232 Saturn Ave.,Huntington Park,CA,90255-5440
Luther Burbank Middle (LAUSD),Los Angeles Unified,6460 North Figueroa St.,Los Angeles,CA,90042-2803
MacArthur Park Elementary School for the Visual and Performing Arts(LAUSD),Los Angeles Unified,2300 West Seventh St.,Los Angeles,CA,90057-3903
Machon (LAUSD),Los Angeles Unified,1030 S. Robertson Blvd. Second Fl.,Los Angeles,CA,90035-1505
Madison Elementary South Gate,Los Angeles Unified,9820 Madison Ave.,South Gate,CA,90280-4319
Magnolia Avenue Elementary(LAUSD),Los Angeles Unified,1626 South Orchard Ave.,Los Angeles,CA,90006-5316
Main Street Elementary(LAUSD),Los Angeles Unified,129 East 53rd St.,Los Angeles,CA,90011-4517
Malabar Street Elementary(LAUSD),Los Angeles Unified,3200 East Malabar St.,Los Angeles,CA,90063-4021
Manchester Avenue Elementary(LAUSD),Los Angeles Unified,661 West 87th St.,Los Angeles,CA,90044-5703
Manhattan Place Elementary(LAUSD),Los Angeles Unified,1850 West 96th St.,Los Angeles,CA,90047-3725
Manual Arts Senior High(LAUSD),Los Angeles Unified,4131 South Vermont Ave.,Los Angeles,CA,90037-1918
Manzanita School and Institute(LAUSD),Los Angeles Unified,1717 Old Topanga Canyon Rd.,Topanga,CA,90290-3934
Maple Primary Center(LAUSD),Los Angeles Unified,3601 South Maple Ave.,Los Angeles,CA,90011-2619
Mar Vista Elementary(LAUSD),Los Angeles Unified,3330 Granville Ave.,Los Angeles,CA,90066-2052
Oliver Wendell Holmes Middle(LAUSD),Los Angeles Unified,9351 Paso Robles Ave.,Northridge,CA,91325-2528
Olympic Primary Center(LAUSD),Los Angeles Unified,950 South Albany St.,Los Angeles,CA,90015-1212
One Hundred Eighteenth Street/118th St.Elementary (LAUSD),Los Angeles Unified,144 East 118th St.,Los Angeles,CA,90061-2422
One Hundred Eighty-Sixth Street/186th St. Elementary (LAUSD),Los Angeles Unified,1581 West 186th St.,Gardena,CA,90248-3951
One Hundred Fifty-Sixth Street/156th St.Elementary (LAUSD),Los Angeles Unified,2100 West 156th St.,Gardena,CA,90249-4703
One Hundred Fifty-Third Street/153rd Street (LAUSD),Los Angeles Unified,1605 West 153rd St.,Gardena,CA,90247-3135
One Hundred Ninth Street/ 109th St.Elementary (LAUSD),Los Angeles Unified,10915 South McKinley Ave.,Los Angeles,CA,90059-1523
One Hundred Seventh Street/107th St. Elementary (LAUSD),Los Angeles Unified,147 East 107th St.,Los Angeles,CA,90003-4732
One Hundred Sixteenth Street/ 116th St. Elementary (LAUSD),Los Angeles Unified,11610 Stanford Ave.,Los Angeles,CA,90059-2313
One Hundred Thirty-Fifth Street/135th St. Elementary (LAUSD),Los Angeles Unified,801 West 135th St.,Gardena,CA,90247-2154
One Hundred Twelfth Street/112th St. Elementary (LAUSD),Los Angeles Unified,1265 East 112th St.,Los Angeles,CA,90059-1137
One Hundred Twenty-Second Street /122nd St. Elementary (LAUSD),Los Angeles Unified,405 East 122nd St.,Los Angeles,CA,90061-2807
OneSchool Global - Los Angeles(LAUSD),Los Angeles Unified,5200 W. 83rd St.,Los Angeles,CA,90045-3248
Open Charter Magnet(LAUSD),Los Angeles Unified,5540 West 77th St.,Los Angeles,CA,90045-3214
Or Hachaim Academy(LAUSD),Los Angeles Unified,6021 Laurel Canyon Blvd.,North Hollywood,CA,91606-4615
Orange School(LAUSD),Los Angeles Unified,3705 W Pico Blvd #677,Los Angeles,CA,90019-3451
Orchard Academies 2B(LAUSD),Los Angeles Unified,6411 Orchard Ave.,Bell,CA,90201-2222
Orchard Academies 2C(LAUSD),Los Angeles Unified,6411 Orchard Ave.,Bell,CA,90201-2222
Roy Romer Middle(LAUSD),Los Angeles Unified,6501 Laurel Canyon Blvd.,North Hollywood,CA,91606-1520
Rudecinda Sepulveda Dodson Middle(LAUSD),Los Angeles Unified,28014 Montereina Dr.,Rancho Palos Verdes,CA,90275-1288
Russell Elementary(LAUSD),Los Angeles Unified,1263 East Firestone Blvd.,Los Angeles,CA,90001-3738
Sacred Heart Elementary School(LAUSD),Los Angeles Unified,2109 Sichel St.,Los Angeles,CA,90031-3027
Sacred Heart High(LAUSD),Los Angeles Unified,2111 Griffin Ave.,Los Angeles,CA,90031-3005
Saint Aloysius(LAUSD),Los Angeles Unified,2023 East Nadeau St.,Los Angeles,CA,90001-3503
Saint Catherine's Private(LAUSD),Los Angeles Unified,19830 Montau Dr.,Topanga,CA,90290-3324
Saint Paul the Apostle School(LAUSD),Los Angeles Unified,1536 Selby Ave.,Los Angeles,CA,90024-5714
Saint Sebastian School(LAUSD),Los Angeles Unified,1430 Federal Ave.,Los Angeles,CA,90025-2302
Saint Thomas the Apostle(LAUSD),Los Angeles Unified,2632 West 15th St.,Los Angeles,CA,90006-4329
Sal Castro Middle(LAUSD),Los Angeles Unified,1575 West 2nd St.,Los Angeles,CA,90026-5701
Sally Ride Elementary: A SMArT Academy(LAUSD),Los Angeles Unified,1041 East 46th St.,Los Angeles,CA,90011-3627
Samuel A. Fryer Yavneh Hebrew(LAUSD),Los Angeles Unified,5353 West Third St.,Los Angeles,CA,90020-4801
Samuel Gompers Middle(LAUSD),Los Angeles Unified,234 East 112th St.,Los Angeles,CA,90061-2542
San Antonio Continuation(LAUSD),Los Angeles Unified,2911 Belgrave Ave.,Huntington Park,CA,90255-5268
San Antonio Elementary(LAUSD),Los Angeles Unified,6222 State St.,Huntington Park,CA,90255-4403
San Fernando Elementary(LAUSD),Los Angeles Unified,1130 Mott St.,San Fernando,CA,91340-4126
St. Euphrasia School(LAUSD),Los Angeles Unified,17637 Mayerling St.,Granada Hills,CA,91344-2120
St. Frances X. Cabrini(LAUSD),Los Angeles Unified,1428 West Imperial Hwy.,Los Angeles,CA,90047-4901
Corpus Christi Elementary(LAUSD),Los Angeles Unified,890 Toyopa Dr.,Pacific Palisades,CA,90272-3729
"Country School, The(LAUSD)",Los Angeles Unified,5243 Laurel Canyon Blvd.,Valley Village,CA,91607-2709
"Coutin School, LLC(LAUSD)",Los Angeles Unified,7119 Owensmouth Ave.,Canoga Park,CA,91303-2008
Cowan Avenue Elementary(LAUSD),Los Angeles Unified,7615 Cowan Ave.,Los Angeles,CA,90045-1206
Creative Center for Children(LAUSD),Los Angeles Unified,10547 Santa Monica Blvd.,Los Angeles,CA,90025-4907
Creative hands learning academy Inc(LAUSD),Los Angeles Unified,2416 West Martin Luther King,Los Angeles,CA,90008-2727
Creative Learning Academy(LAUSD),Los Angeles Unified,1718 W. Martin Luther King Bl.,Los Angeles,CA,90062-1502
"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet(LAUSD)",Los Angeles Unified,5010 11th Ave.,Los Angeles,CA,90043-4816
Crescent Heights Boulevard Elementary(LAUSD),Los Angeles Unified,1661 South Crescent Heights,Los Angeles,CA,90035-4529
Crestwood Street Elementary(LAUSD),Los Angeles Unified,1946 West Crestwood St.,Rancho Palos Verdes,CA,90275-1302
Dahlia Heights Elementary(LAUSD),Los Angeles Unified,5063 Floristan Ave.,Los Angeles,CA,90041-2350
Dan M. Issacs Avalon High(LAUSD),Los Angeles Unified,1425 North Avalon Blvd.,Wilmington,CA,90744-1506
Daniel Pearl Journalism & Communications Magnet(LAUSD),Los Angeles Unified,6649 Balboa Blvd.,Lake Balboa,CA,91406-5529
St. Francis De Sales(LAUSD),Los Angeles Unified,13368 Valleyheart Dr.,Sherman Oaks,CA,91423-3287
St. Genevieve Elementary School(LAUSD),Los Angeles Unified,14024 Community St.,Panorama City,CA,91402-3707
St. Genevieve High School(LAUSD),Los Angeles Unified,13967 Roscoe Blvd.,Panorama City,CA,91402-4245
Fernangeles Elementary(LAUSD),Los Angeles Unified,12001 Art St.,Sun Valley,CA,91352-2499
Fifteenth Street/15th St. Elementary (LAUSD),Los Angeles Unified,1527 South Mesa St.,San Pedro,CA,90731-4834
Fifty-Fourth Street /54th St. Elementary (LAUSD),Los Angeles Unified,5501 South Eileen Ave.,Los Angeles,CA,90043-2255
Fifty-Ninth Street /59th St. Elementary (LAUSD),Los Angeles Unified,5939 Second Ave.,Los Angeles,CA,90043-3219
Fifty-Second Street/52nd St. Elementary (LAUSD),Los Angeles Unified,816 West 51st St.,Los Angeles,CA,90037-3603
Figueroa Street Elementary(LAUSD),Los Angeles Unified,510 West 111th St.,Los Angeles,CA,90044-4231
First Street/ 1st ST. Elementary (LAUSD),Los Angeles Unified,2820 East First St.,Los Angeles,CA,90033-3636
First United Methodist Church/Glenoaks Christian Elementary School(LAUSD),Los Angeles Unified,1525 Glenoaks Blvd.,San Fernando,CA,91340-1739
Fishburn Avenue Elementary(LAUSD),Los Angeles Unified,5701 Fishburn Ave.,Maywood,CA,90270-2819
Fletcher Drive Elementary(LAUSD),Los Angeles Unified,3350 Fletcher Dr.,Los Angeles,CA,90065-2915
Florence Avenue Elementary(LAUSD),Los Angeles Unified,7211 Bell Ave.,Los Angeles,CA,90001-2716
Florence Griffith Joyner Elementary(LAUSD),Los Angeles Unified,1963 East 103rd St.,Los Angeles,CA,90002-3123
Florence Nightingale Middle(LAUSD),Los Angeles Unified,3311 North Figueroa St.,Los Angeles,CA,90065-1527
Ford Boulevard Elementary(LAUSD),Los Angeles Unified,1112 South Ford Blvd.,Los Angeles,CA,90022-2912
Gledhill Street Elementary(LAUSD),Los Angeles Unified,16030 Gledhill St.,North Hills,CA,91343-2917
Glen Alta Elementary(LAUSD),Los Angeles Unified,3410 Sierra St.,Los Angeles,CA,90031-2137
Glenfeliz Boulevard Elementary(LAUSD),Los Angeles Unified,3955 Glenfeliz Blvd.,Los Angeles,CA,90039-1441
Glenn Hammond Curtiss Middle(LAUSD),Los Angeles Unified,1254 East Helmick St.,Carson,CA,90746-3164
Cesar E Chavez Learning Academy - Academy of Sci Exploration(LAUSD),Los Angeles Unified,1001 Arroyo Ave,San Fernando,CA,91340
Westmark School(LAUSD),Los Angeles Unified,5461 Louise Ave.,Encino,CA,91316-2540
Westminster Avenue Elementary(LAUSD),Los Angeles Unified,1010 Abbott Kinney Blvd.,Venice,CA,90291-3312
Westport Heights Elementary(LAUSD),Los Angeles Unified,6011 West 79th St.,Los Angeles,CA,90045-2946
